C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190501_20190531.csv
C,Time period: 2019-05-01 to 2019-05-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:29:36 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-05-01,01,624.3,643.3
D,2019-05-01,02,599.8,621.3
D,2019-05-01,03,616.8,609.0
D,2019-05-01,04,618.7,607.9
D,2019-05-01,05,617.1,621.0
D,2019-05-01,06,669.0,672.3
D,2019-05-01,07,797.1,770.9
D,2019-05-01,08,885.1,834.3
D,2019-05-01,09,863.4,860.4
D,2019-05-01,10,894.7,873.2
D,2019-05-01,11,914.8,867.3
D,2019-05-01,12,913.0,865.3
D,2019-05-01,13,877.9,855.3
D,2019-05-01,14,865.5,848.8
D,2019-05-01,15,859.2,843.7
D,2019-05-01,16,855.7,842.7
D,2019-05-01,17,841.4,852.6
D,2019-05-01,18,866.8,861.4
D,2019-05-01,19,899.8,870.4
D,2019-05-01,20,912.7,886.2
D,2019-05-01,21,891.3,879.2
D,2019-05-01,22,803.5,827.7
D,2019-05-01,23,720.1,749.2
D,2019-05-01,24,641.1,684.4
D,2019-05-02,01,588.1,633.7
D,2019-05-02,02,570.3,606.0
D,2019-05-02,03,540.1,595.9
D,2019-05-02,04,543.4,600.9
D,2019-05-02,05,559.1,604.2
D,2019-05-02,06,652.1,653.6
D,2019-05-02,07,774.0,741.3
D,2019-05-02,08,863.5,806.3
D,2019-05-02,09,867.4,838.0
D,2019-05-02,10,905.3,853.6
D,2019-05-02,11,925.8,864.2
D,2019-05-02,12,934.3,867.5
D,2019-05-02,13,897.4,857.2
D,2019-05-02,14,905.6,846.8
D,2019-05-02,15,893.5,835.6
D,2019-05-02,16,880.8,831.7
D,2019-05-02,17,875.2,846.7
D,2019-05-02,18,878.5,858.4
D,2019-05-02,19,917.0,865.9
D,2019-05-02,20,941.6,867.7
