PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-1,7,0,-1,0,0
1,1,1,0,0,-1,6,0,-1,0,0
1,1,2,0,0,-2,6,0,-2,0,0
1,1,3,0,0,-2,6,0,-2,0,0
1,1,4,0,0,-2,5,0,-2,0,0
1,1,5,0,0,-2,5,0,-2,0,0
1,1,6,0,0,-2,5,0,-2,0,0
1,1,7,0,14,-2,4,13.265,-3.434,12.921,7.583
1,1,8,64,71,-1,4,108.993,-0.245,102.4,95.261
1,1,9,5,112,0,4,115.814,1.127,110.576,103.258
1,1,10,336,150,0,4,403.241,7.573,371.333,356.989
1,1,11,418,155,0,4,494.951,10.242,451.659,434.642
1,1,12,787,89,0,4,675.818,14.439,603.346,580.625
1,1,13,278,146,0,4,352.233,7.669,323.835,310.96
1,1,14,455,81,0,4,342.703,6.745,309.117,296.679
1,1,15,182,54,0,3,134.096,2.418,119.416,111.902
1,1,16,0,0,0,3,0,0,0,0
1,1,17,0,0,0,2,0,0,0,0
1,1,18,0,0,0,2,0,0,0,0
1,1,19,0,0,0,1,0,0,0,0
1,1,20,0,0,0,1,0,0,0,0
1,1,21,0,0,0,1,0,0,0,0
1,1,22,0,0,0,1,0,0,0,0
1,1,23,0,0,0,2,0,0,0,0
1,2,0,0,0,0,2,0,0,0,0
1,2,1,0,0,0,3,0,0,0,0
1,2,2,0,0,0,4,0,0,0,0
1,2,3,0,0,0,5,0,0,0,0
1,2,4,0,0,0,5,0,0,0,0
1,2,5,0,0,0,6,0,0,0,0
1,2,6,0,0,0,7,0,0,0,0
1,2,7,0,4,0,7,3.78,-1.133,3.647,0
1,2,8,0,65,0,7,65.706,-0.134,63.124,56.813
1,2,9,27,119,0,7,142.711,1.17,135.83,127.943
1,2,10,18,149,1,6,162.702,2.748,154.222,145.905
1,2,11,0,102,1,6,98.579,1.64,93.999,87.042
1,2,12,0,121,1,6,118.73,1.911,113.083,105.709
1,2,13,0,117,2,6,115.894,2.892,109.923,102.619
1,2,14,0,67,1,6,64.526,0.975,61.701,55.419
1,2,15,0,36,1,6,34.461,0.374,33.036,27.32
1,2,16,0,0,1,7,0,1,0,0
1,2,17,0,0,1,7,0,1,0,0
1,2,18,0,0,0,7,0,0,0,0
1,2,19,0,0,0,7,0,0,0,0
1,2,20,0,0,0,8,0,0,0,0
1,2,21,0,0,0,8,0,0,0,0
1,2,22,0,0,0,8,0,0,0,0
1,2,23,0,0,0,8,0,0,0,0
1,3,0,0,0,-1,8,0,-1,0,0
1,3,1,0,0,-2,9,0,-2,0,0
1,3,2,0,0,-3,9,0,-3,0,0
1,3,3,0,0,-4,9,0,-4,0,0
1,3,4,0,0,-6,10,0,-6,0,0
1,3,5,0,0,-7,10,0,-7,0,0
1,3,6,0,0,-8,10,0,-8,0,0
1,3,7,0,4,-9,9,3.78,-9.955,3.782,0
1,3,8,86,72,-9,9,119.205,-8.387,115.206,107.785
1,3,9,24,119,-9,9,140.944,-8.005,139.404,131.434
1,3,10,345,150,-8,8,409.4,-2.956,394.228,379.147
1,3,11,366,167,-7,8,461.535,-0.946,442.099,425.412
1,3,12,637,105,-6,8,594.022,2.057,560.277,539.262
1,3,13,572,101,-6,8,503.211,0.838,474.295,456.481
1,3,14,497,77,-6,8,365.056,-1.278,340.644,327.259
1,3,15,207,55,-6,8,144.734,-4.643,132.406,124.597
1,3,16,0,0,-7,8,0,-7,0,0
1,3,17,0,0,-8,7,0,-8,0,0
1,3,18,0,0,-8,7,0,-8,0,0
1,3,19,0,0,-9,7,0,-9,0,0
1,3,20,0,0,-9,6,0,-9,0,0
1,3,21,0,0,-9,6,0,-9,0,0
1,3,22,0,0,-9,5,0,-9,0,0
1,3,23,0,0,-10,5,0,-10,0,0
1,4,0,0,0,-10,4,0,-10,0,0
1,4,1,0,0,-9,4,0,-9,0,0
1,4,2,0,0,-9,3,0,-9,0,0
1,4,3,0,0,-9,2,0,-9,0,0
1,4,4,0,0,-8,2,0,-8,0,0
1,4,5,0,0,-8,2,0,-8,0,0
1,4,6,0,0,-7,2,0,-7,0,0
1,4,7,0,15,-6,3,14.216,-7.653,14.089,8.73
1,4,8,253,66,-5,3,192.861,-2.04,177.334,168.458
1,4,9,813,61,-3,3,543.481,9.18,486.567,468.313
1,4,10,879,70,-2,4,685.247,12.762,613.741,590.598
1,4,11,899,76,-1,4,751.534,15.521,668.112,642.696
